[48.26638449, 36.08798262]    [253059, 439302, 252976, 186374, 61592, 349535, 295598, 483338, 253068]
[58.93596032, 18.70646398]    [117312, 144608, 516933, 332790, 364353, 289612, 350639, 102970, 87789]
[77.31870296, 93.11066384]    [131351, 131827, 136301, 129231, 137916, 126595, 134883, 134903, 131023]
[5.352580354, 18.22346731]    [326870, 309767, 88772, 104487, 605775, 89161, 89132, 88828, 88814]
[47.09508122, 54.11321179]    [373701, 373638, 401957, 373825, 373728, 373827, 373602, 373538, 373676]
[4.113273053, 99.39417176]    [224323, 174562, 676651, 224257, 224293, 224363, 213480, 224414, 224429]
[3.954178388, 58.58619091]    [141570, 75698, 216313, 259983, 216414, 638132, 216142, 477224, 308059]
[36.53459554, 16.93950486]    [553547, 553582, 340883, 553583, 553599, 553522, 553668, 553605, 553462]
[47.05854531, 69.30753017]    [399622, 653611, 84259, 339201, 435520, 130823, 47240, 395848, 97468]
[14.11662422, 4.02371377]    [62593, 241393, 241680, 493092, 62693, 62679, 241371, 62715, 62590]
[13.60556995, 74.76103445]    [488166, 488145, 488112, 488190, 488139, 518907, 287673, 5054, 383498]
[6.424510859, 41.13830197]    [446997, 446946, 25033, 446956, 446954, 438938, 446795, 447003, 121663]
[15.12565357, 80.03655387]    [449062, 3794, 291383, 25108, 145863, 309506, 536338, 298490, 549366]
[13.93470696, 23.02153839]    [340999, 340960, 336941, 366508, 341007, 340878, 295929, 172079, 340808]
[8.372729343, 52.3368642]    [498071, 411653, 124788, 550446, 341842, 207518, 540774, 14126, 521336]
[11.20415736, 54.49219838]    [618633, 294629, 515876, 294593, 294643, 294588, 294654, 294591, 294664]
[30.81693502, 95.65779495]    [370309, 437220, 258167, 258230, 258235, 283853, 258042, 258154, 402378]
[2.496801788, 36.2020319]    [3152, 266886, 388995, 132148, 545696, 277901, 124986, 287593, 582261]
[0.762091656, 23.73830137]    [529000, 536522, 98083, 629678, 488125, 70858, 429018, 256271, 380490]
[33.60546497, 8.041692475]    [370295, 176720, 317808, 436337, 566271, 421487, 471563, 176654, 369994]
[4.527604291, 4.460798309]    [526552, 133507, 15539, 489203, 530253, 138283, 586018, 142270, 130767]
[41.45236411, 80.68287037]    [365749, 551754, 530941, 485121, 116537, 319672, 485194, 337706, 485208]
[38.55344297, 11.13748554]    [356183, 356150, 356163, 356099, 356044, 302831, 356233, 356249, 13406]
[35.3142109, 92.34567086]    [89075, 88834, 60884, 297666, 89111, 88854, 88811, 88779, 297375]
[20.31114986, 11.7457774]    [187392, 187433, 187279, 187372, 66359, 187385, 479707, 225662, 484474]
[3.028531717, 28.37275911]    [56913, 51554, 291590, 130866, 210567, 335376, 549185, 288910, 389722]
[39.23622756, 54.84937469]    [330869, 149078, 166453, 19545, 306781, 291693, 374985, 55983, 555655]
[19.4453519, 20.90413885]    [146962, 64657, 64549, 346541, 64536, 64665, 64586, 64573, 64557]
[42.39778506, 43.66734278]    [124800, 484818, 123684, 265837, 560643, 580131, 556883, 436523, 500760]
[30.8501822, 33.68261702]    [439142, 172103, 548206, 416496, 268098, 671436, 497425, 522333, 93404]
[21.10951961, 87.63108886]    [57376, 222834, 521382, 373793, 222710, 355715, 197066, 444521, 7263]
[6.047714804, 52.69824764]    [137430, 544479, 165321, 440429, 111228, 291305, 464282, 386587, 523529]
[69.62204827, 99.61862075]    [282650, 677889, 547571, 386115, 600146, 600305, 339205, 522901, 408774]
[14.99873261, 32.7982789]    [575914, 581626, 494900, 481043, 51494, 400289, 555631, 527987, 384120]
