[17.94698828, 51.53612138]    [644457, 446453, 168945, 358803, 408110, 84602]
[4.881685712, 40.97847548]    [553480, 553498, 553691, 168710, 553568, 553443]
[6.595976075, 80.01169528]    [279237, 498244, 442210, 520991, 397725, 516891]
[24.43682506, 30.99385517]    [561481, 167683, 561596, 561742, 561678, 561584]
[7.86091546, 31.34697921]    [32016, 31840, 31796, 298977, 406396, 32031]
[12.1521839, 7.013525331]    [419362, 643759, 420158, 149770, 557972, 284539]
[20.65114105, 4.949327735]    [187330, 187314, 187398, 187316, 187338, 187311]
[15.42361001, 57.15475548]    [190114, 190226, 190145, 190234, 190235, 526724]
[9.188715443, 37.64837217]    [387697, 555711, 465839, 170298, 125914, 553764]
[4.730198318, 98.8073669]    [353367, 633229, 441521, 158890, 158811, 399035]
[45.12211208, 41.13830197]    [446997, 446946, 25033, 438938, 447003, 121663]
[27.01386611, 70.28044824]    [117893, 430371, 294314, 48373, 422865, 205758]
[48.25463319, 39.84542784]    [489203, 530253, 142270, 6604, 130767, 310091]
[19.13941441, 65.32491389]    [361381, 310965, 282246, 487828, 359709, 395626]
[54.02416155, 17.59095414]    [493559, 482769, 278942, 425228, 571987, 373499]
[24.92180225, 54.02764989]    [119616, 173094, 481922, 173098, 307757, 173097]
[22.78469384, 10.76987879]    [679001, 282295, 573301, 204190, 338059, 345835]
[15.27234846, 80.98854278]    [378992, 248116, 51433, 465885, 229903, 247901]
[29.6822452, 16.15993148]    [484918, 6578, 675113, 2564, 438498, 281003]
[31.87688399, 8.813869479]    [672570, 63057, 342578, 101497, 374860, 124510]
[21.30589353, 69.31826219]    [299927, 419765, 572494, 349327, 286923, 514664]
[45.32812582, 1.670231973]    [60198, 439777, 124680, 402604, 391753, 146700]
[9.352434801, 58.0638148]    [267332, 535736, 535737, 535821, 453600, 350954]
[24.98725455, 67.51348318]    [507591, 166963, 380295, 325334, 37879, 80139]
[23.26569306, 89.14275348]    [174355, 558155, 346786, 558626, 670081, 124620]
[4.801643773, 82.35587558]    [230672, 231060, 329292, 231055, 561460, 220703]
[33.05793908, 67.8885874]    [444035, 443742, 443619, 444524, 444151, 318718]
[53.1162889, 6.09252798]    [124820, 79956, 276413, 560497, 463372, 119933]
[1.31218167, 68.57923355]    [395604, 477331, 81735, 671207, 491737, 330651]
[12.18947149, 42.28484799]    [307284, 420151, 307164, 307213, 307192, 278827]
[37.34554425, 55.91815868]    [386183, 582250, 285312, 653920, 438806, 274928]
[15.13898124, 77.74045641]    [308676, 308838, 308690, 378674, 308652, 308639]
[4.15268656, 77.9447856]    [548843, 1478, 491265, 51927, 353389, 353324]
[8.232566852, 32.3051818]    [344935, 523301, 479764, 497731, 99496, 481404]
[58.39860179, 81.27288688]    [6401, 6305, 6434, 319266, 6348, 6365]
[14.34684313, 59.00527013]    [553544, 553516, 553517, 665676, 50696, 360045]
[11.76954689, 31.59672402]    [424323, 346732, 424316, 57436, 171439, 424232]
[0.071577532, 82.92030183]    [213953, 213664, 213975, 213671, 213669, 213700]
[23.83788111, 91.98573603]    [361813, 361733, 361764, 361889, 177561, 443064]
